xmin,ymin,xmax,ymax,confidence,class,name
772.7684326171875,493.07867431640625,1277.2662353515625,958.9650268554688,0.9300031661987305,0,person
265.27166748046875,380.604248046875,423.29180908203125,578.083984375,0.8474739789962769,0,person
109.77191162109375,563.566650390625,696.1073608398438,960.0,0.8328554034233093,0,person
600.1441650390625,686.2555541992188,644.6051025390625,858.4142456054688,0.8301549553871155,39,bottle
36.539031982421875,408.37347412109375,194.0135498046875,705.1333618164062,0.7885896563529968,0,person
380.0263366699219,552.6968383789062,415.3490295410156,653.6594848632812,0.7477189898490906,39,bottle
0.0,505.4952392578125,134.6339874267578,892.6875,0.7027101516723633,0,person
1097.1644287109375,440.369140625,1268.1273193359375,648.3804931640625,0.6978100538253784,0,person
948.6293334960938,366.2860412597656,1093.3759765625,498.9953308105469,0.6813297867774963,0,person
372.4664001464844,378.72515869140625,492.4377746582031,527.2939453125,0.652741014957428,0,person
469.38299560546875,494.57171630859375,492.8438720703125,567.9915161132812,0.6495121121406555,39,bottle
907.9714965820312,354.4533996582031,989.4955444335938,476.1096496582031,0.6141353845596313,0,person
1149.2950439453125,393.8075866699219,1247.3199462890625,539.220947265625,0.555909276008606,0,person
100.14471435546875,715.3016357421875,153.84066772460938,809.9019775390625,0.551594614982605,39,bottle
431.1333923339844,295.92974853515625,501.5097961425781,445.79473876953125,0.5027261972427368,0,person
895.7496948242188,667.3101196289062,944.0366821289062,726.8048706054688,0.4896704852581024,39,bottle
339.8153381347656,460.2488708496094,614.031982421875,760.2939453125,0.4852575957775116,60,dining table
544.8270874023438,419.55938720703125,566.5034790039062,483.146240234375,0.48414182662963867,39,bottle
935.9861450195312,476.4187316894531,958.2078247070312,534.56884765625,0.4448213577270508,39,bottle
511.8317565917969,467.6352844238281,531.2911987304688,517.1524658203125,0.4138505160808563,39,bottle
257.82757568359375,488.26202392578125,281.2659912109375,577.6701049804688,0.37249046564102173,56,chair
580.7679443359375,421.6292419433594,595.989501953125,457.1053161621094,0.33412572741508484,39,bottle
821.2490234375,448.9808349609375,981.546875,675.209228515625,0.2845676839351654,60,dining table
649.231201171875,447.5314636230469,768.239990234375,586.1551513671875,0.2722419202327728,60,dining table
